id,objeto,estado,categoria,tipo_procedimiento,comprador,valor_estimado,monto_adjudicado,monto_contratado,moneda,n_adjudicaciones,n_proveedores,proveedor,proveedores,fecha_publicacion,fecha_adjudicacion,fecha_contrato,url_muni
ocds-03ad3f-432434-1,ADQUISICION DE EQUIPOS PARA COBRANZAS EN SEDE CENTRAL Y CENTROS MUNICIPALES.,complete,goods,Contratación Directa,Municipalidad de Asunción,186406515,171781035,171781035,PYG,1,1,SEGEL S.A.,SEGEL S.A.,2023-09-05T14:48:21-04:00,2023-11-22T12:00:00-04:00,2024-02-22T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/432434-adquisicion-equipos-cobranzas-sede-central-centros-municipales-1.html
ocds-03ad3f-436159-1,MANTENIMIENTO Y REPARACION EDILICIO DEL TEDIM ,complete,services,Contratación por Excepción,Municipalidad de Asunción,722937362,523330400,523330400,PYG,1,1,CARLOS ALBERTO PERALES ORTELLADO,CARLOS ALBERTO PERALES ORTELLADO,2023-11-07T16:37:11-04:00,2024-01-30T12:00:00-04:00,2024-02-08T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/436159-mantenimiento-reparacion-edilicio-tedim-1.html
ocds-03ad3f-433141-1,SERVICIO DE AMBULANCIA PARA DEPENDENCIAS DE LA DIRECCION GENERAL DE CULTURA Y TURISMO - PLURIANUAL,complete,goods,Contratación Directa,Municipalidad de Asunción,64950012,50400000,50400000,PYG,1,1,EQUIPO MEDICO DE EMERGENCIAS PARAGUAY S.A.,EQUIPO MEDICO DE EMERGENCIAS PARAGUAY S.A.,2023-10-30T14:37:38-04:00,2024-02-12T12:00:00-04:00,2024-03-11T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/433141-servicio-ambulancia-dependencias-direccion-general-cultura-turismo-plurianual-1.html
ocds-03ad3f-433212-1,ADQUISICION DE EQUIPOS DE LABORATORIO,complete,goods,Contratación Directa,Municipalidad de Asunción,99318557,17700000,7849000,PYG,1,1,CHARPENTIER SRL,CHARPENTIER SRL,2023-10-04T14:33:33-04:00,2024-02-19T12:00:00-04:00,2024-03-21T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/433212-adquisicion-equipos-laboratorio-1.html
ocds-03ad3f-432079-1,RECARGA DE EXTINTORES PARA LA DIRECCION DE VIALIDAD,complete,goods,Contratación Directa,Municipalidad de Asunción,37138062,27714000,27714000,PYG,1,1,ALDO OSCAR ACUÑA ,ALDO OSCAR ACUÑA ,2023-09-12T15:51:44-04:00,2023-11-21T12:00:00-04:00,2024-03-11T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/432079-recarga-extintores-direccion-vialidad-1.html
ocds-03ad3f-435169-1,ADQUISICIÓN DE EQUIPOS RECREATIVOS PARA CDI CONCEJALITOS DE LA JUNTA MUNICIPAL DE ASUNCIÓN,complete,goods,Contratación Directa,Municipalidad de Asunción,67057066,67695000,,PYG,1,1,NYP S.A. ,NYP S.A. ,2023-10-18T11:32:54-04:00,2024-04-11T12:00:00-04:00,,https://www.contrataciones.gov.py/licitaciones/convocatoria/435169-adquisicion-equipos-recreativos-cdi-concejalitos-junta-municipal-asuncion-1.html
ocds-03ad3f-411361-1,"MANTENIMIENTO Y REPARACION DE UNIDAD HIDRAULICA STANLEY, MARTILLETE HIDRAULICO STANLEY Y TERMINADORA AMMANN DE LA DIRECCION DE VIALIDAD - PLURIANUAL",complete,services,Contratación por Excepción,Municipalidad de Asunción,986829500,986829500,986829500,PYG,1,1,PROYEC S.A.E,PROYEC S.A.E,2023-11-15T14:35:25-04:00,2024-03-19T12:00:00-04:00,2024-04-10T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/411361-mantenimiento-reparacion-unidad-hidraulica-stanley-martillete-hidraulico-stanley-ter-1.html
ocds-03ad3f-417752-1,MANTENIMIENTO DEL SISTEMA DE GESTION ELECTRONICA DOCUMENTAL GEOEXPEDIENTES,complete,services,Contratación por Excepción,Municipalidad de Asunción,175000000,196000000,196000000,PYG,1,1,EXCELSIS S.A.,EXCELSIS S.A.,2023-10-13T11:02:09-04:00,2024-02-09T12:00:00-04:00,2024-03-08T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/417752-mantenimiento-sistema-gestion-electronica-documental-geoexpedientes-1.html
ocds-03ad3f-407553-1,CONSTRUCCION DE PUENTES PEATONALES EN EL BARRIO SAN CAYETANO - BAÑADO SUR,complete,works,Contratación Directa,Municipalidad de Asunción,170866420,151881264,151881264,PYG,1,1,JULIO DANIEL CARIBONI MELGAREJO,JULIO DANIEL CARIBONI MELGAREJO,2022-07-13T16:28:03-04:00,2022-11-24T12:00:00-04:00,2024-03-26T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/407553-construccion-puentes-peatonales-barrio-san-cayetano-banado-sur-1.html
ocds-03ad3f-409600-2,ADQUISICION DE ESCANERES - SEGUNDO LLAMADO,complete,goods,Contratación Directa,Municipalidad de Asunción,189448361,185600000,185600000,PYG,1,1,SOLNET S.A.,SOLNET S.A.,2023-10-23T10:47:01-04:00,2024-03-19T12:00:00-04:00,2024-04-09T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/409600-adquisicion-escaneres-segundo-llamado-3.html
ocds-03ad3f-422399-1,"ADQUISICION DE MAQUINARIAS, EQUIPOS Y HERRAMIENTAS MAYORES",complete,goods,Concurso de Ofertas,Municipalidad de Asunción,670000000,605000000,66000000,PYG,1,1,RIEDER Y CIA. SACI,RIEDER Y CIA. SACI,2023-08-24T09:51:07-04:00,2023-12-19T12:00:00-04:00,2024-03-22T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/422399-adquisicion-maquinarias-equipos-herramientas-mayores-1.html
ocds-03ad3f-432043-1,ADQUISICION DE CAMION HIDROELEVADOR TIPO CANASTA,complete,goods,Concurso de Ofertas,Municipalidad de Asunción,946666667,807500000,807500000,PYG,1,1,RODOMAQ S.A,RODOMAQ S.A,2023-10-16T15:18:08-04:00,2023-12-29T12:00:00-04:00,2024-04-25T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/432043-adquisicion-camion-hidroelevador-tipo-canasta-1.html
