id,objeto,estado,categoria,tipo_procedimiento,comprador,proveedor,monto,moneda,fecha_publicacion,fecha_adjudicacion,fecha_contrato,url_muni
ocds-03ad3f-468943-1,Señalización Horizontal y vertical de varias calles de la ciudad de Asunción.,complete,works,open,Municipalidad de Asunción,CONSTRUTEX S.A.,550000000,PYG,2025-10-09T15:51:33-04:00,2025-11-18T00:00:00-04:00,,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-468943-1
ocds-03ad3f-448080-1,CONTRATACION DE SEGUROS PARA LA MUNICIPALIDAD DE ASUNCION - PLURIANUAL,complete,goods,open,Municipalidad de Asunción,PATRIA S.A DE SEGUROS Y REASEGUROS,5343080786,PYG,2024-09-18T17:23:47-04:00,2025-08-22T00:00:00-04:00,,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-448080-1
ocds-03ad3f-410937-1,"""ADQUISICION DE INMUEBLE PARA EL CENTRO DE ATENCION INTEGRAL A LA PRIMERA INFANCIA """"TAPYTAMI"""" - AD REFERENDUM""",complete,services,open,Municipalidad de Asunción,PEDRO ANDRES DEMESTRI LEGUIZAMON,868718173,PYG,2023-12-28T14:25:13-04:00,2024-04-05T12:00:00-04:00,2024-09-06T12:00:00-04:00,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-410937-1
ocds-03ad3f-475735-1,SERVICIO DE GPS PARA RASTREO DIGITAL DE LA  FLOTA DE VEHICULOS DE LA MUNICIPALIDAD DE ASUNCIÓN - PLURIANUAL,complete,goods,open,Municipalidad de Asunción,LOCALIZA PARAGUAY S.A.,165600000,PYG,2025-10-08T10:02:21-04:00,2026-03-25T00:00:00-04:00,,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-475735-1
ocds-03ad3f-479899-1,ADQUISICION DE MOBILIARIOS - FONACIDE,complete,services,open,Municipalidad de Asunción,,315667195,PYG,2026-03-04T07:43:01-04:00,,,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-479899-1
ocds-03ad3f-421790-1,ADQUISICION DE ALIMENTOS PARA ANIMALES DEL JBZA,complete,goods,open,Municipalidad de Asunción,CASA DEGGELLER SRL,1875720000,PYG,2023-09-06T11:19:44-04:00,2024-03-22T12:00:00-04:00,2024-04-25T12:00:00-04:00,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-421790-1
ocds-03ad3f-407171-1,CD N° 03/22 ADQUISICION DE COMBUSTIBLE Y LUBRICANTES PARA LA JUNTA MUNICIPAL DE ASUNCION - PLURIANUAL,complete,goods,open,Municipalidad de Asunción,GUIDO ENRIQUE CABALLERO GONZALEZ,136584500,PYG,2022-10-14T15:04:44-04:00,2024-06-13T12:00:00-04:00,2024-07-24T12:00:00-04:00,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-407171-1
ocds-03ad3f-410181-1,PROVISION DE COMBUSTIBLE - PLURIANUAL,complete,goods,open,Municipalidad de Asunción,PETROLEOS DEL SUR S.A.,68357991829,PYG,2023-01-17T09:52:10-04:00,2023-03-22T12:00:00-04:00,2023-04-12T12:00:00-04:00,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-410181-1
ocds-03ad3f-435324-1,ADQUISICION DE ELEMENTOS DE SEGURIDAD PARA LA DIRECCION DE VIALIDAD,complete,goods,open,Municipalidad de Asunción,WINNER S. R. L.,49245000,PYG,2023-10-30T17:45:52-04:00,2023-11-22T12:00:00-04:00,2024-02-06T12:00:00-04:00,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-435324-1
ocds-03ad3f-435366-1,ADQUISICION DE LECHE PARA FUNCIONARIOS DE LA MUNICIPALIDAD DE ASUNCION - AD REFERENDUM - PLURIANUAL,complete,goods,open,Municipalidad de Asunción,VEGA S.A.,6884160000,PYG,2024-01-02T13:43:35-04:00,2024-03-21T12:00:00-04:00,2024-04-19T12:00:00-04:00,https://www.contrataciones.gov.py/datos/adquisiciones/ocds-03ad3f-435366-1
